Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,1nF,C1588
C14,603,1,2.2uF,C43922
C15,805,1,10uF,C326595
"C16, C17, C18",603,3,4.7uF,C49326649
C2,603,1,22nF,C21122
"C20, C21, C4, C5",603,4,10uF,C22399626
C3,603,1,10nF,C57112
C6,CP_Radial_D6.3mm_P2.50mm,1,25V 100uF,C165558
C7,1206,1,25V 10uF,C70462
"D1, D2",Diode_Bridge_Diotec_ABS,2,ABS10,C19078060
D11,201,1,ESD7381MUT5G,C2987139
"D12, D13, D14, D15",SOT-23,4,BAV199,C155248
D3,D_SMA,1,SMAJ58A,C5121740
D4,603,1,PGOOD,C2288
D5,603,1,+12V,C2286
D6,603,1,+5V,C2286
D7,603,1,+3V3D,C2286
D8,D_SMA,1,US1M,C412437
F1,0154Series_LTF,1,Fuse,C206917
J10,Signals_Module,1,SignalsIn,C5371993
J11,PinSocket_1x06_P2.54mm_Vertical,1,SignalsOut,C40877
J12,PinSocket_1x07_P2.54mm_Vertical,1,ControllerSense,C5371993
J13,ARJM11C7-114-BA-EW2_ABR,1,ARJM11C7-114-BA-EW2,C6578967
J2,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,12V Alt Supply,C89120
J7,PinSocket_1x03_P2.54mm_Vertical,1,ControllerPwr,C146243
J8,PinSocket_1x06_P2.54mm_Vertical,1,ControllerEth,C40877
PS1,R78CK5005,1,R-78CK5.0-0.5,C28216137
R1,603,1,10,C22859
"R10, R11, R9",402,3,270,C11429
"R4, R5",402,2,100k,C25741
"R6, R7",402,2,56k,C103107
R8,402,1,1k,C11702
U2,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,1,LM27762,C473398
U3,TC1262,1,TC1262-33,C638655
